"listing_id","listing_url","listing_name","neighborhood_overview","picture_url","property_type","room_type","bedrooms","beds","bathrooms","bathrooms_text","license","avg_price_2023","minimum_minimum_nights_2024","maximum_minimum_nights_2024","minimum_maximum_nights_2024","maximum_maximum_nights_2024","price"
11706,"https://www.airbnb.com/rooms/18454771","Rental unit in BARCELONA · ★4.30 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-18454771/original/79c8a340-3f7f-4b97-8ae4-e1fbdcea0a8e.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-011553","95",1,3,1,45,"192"
11706,"https://www.airbnb.com/rooms/18454771","Rental unit in BARCELONA · ★4.30 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-18454771/original/79c8a340-3f7f-4b97-8ae4-e1fbdcea0a8e.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-011553","95",1,3,1,45,"192"
15116,"https://www.airbnb.com/rooms/51720353","Rental unit in Barcelona · ★4.33 · 3 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51720353/original/3571544c-3a13-4eb8-8a15-25e568ed5002.jpeg","Entire rental unit","Entire home/apt",3,5,"1","1 bath","HUTB-005199","105",2,3,3,45,"195"
15395,"https://www.airbnb.com/rooms/50562098","Rental unit in Barcelona · ★4.24 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562098/original/61f8ae71-ba21-4e5e-9e6c-a444f7beeeb1.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-005573","127",2,3,2,45,"196"
15395,"https://www.airbnb.com/rooms/50562098","Rental unit in Barcelona · ★4.24 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562098/original/61f8ae71-ba21-4e5e-9e6c-a444f7beeeb1.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-005573","127",2,3,2,45,"196"
9213,"https://www.airbnb.com/rooms/51298243","Rental unit in Barcelona · ★4.30 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51298243/original/b8efb19f-cbc6-465f-bb1e-f16ea04b68e7.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-011747","116",1,3,1,45,"203"
3721,"https://www.airbnb.com/rooms/51298241","Rental unit in Barcelona · ★4.32 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51298241/original/4ee530fa-b9e4-4179-89e7-79bce539b4cf.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-011745","104",2,4,2,45,"204"
3721,"https://www.airbnb.com/rooms/51298241","Rental unit in Barcelona · ★4.32 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51298241/original/4ee530fa-b9e4-4179-89e7-79bce539b4cf.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-011745","104",2,4,2,45,"204"
16959,"https://www.airbnb.com/rooms/51610320","Rental unit in Barcelona · ★4.26 · 3 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51610320/original/6f36c23b-6e2a-4401-8618-6e11c1df0290.jpeg","Entire rental unit","Entire home/apt",3,5,"1","1 bath","HUTB-008072","102",2,4,3,45,"216"
16959,"https://www.airbnb.com/rooms/51610320","Rental unit in Barcelona · ★4.26 · 3 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51610320/original/6f36c23b-6e2a-4401-8618-6e11c1df0290.jpeg","Entire rental unit","Entire home/apt",3,5,"1","1 bath","HUTB-008072","102",2,4,3,45,"216"
15124,"https://www.airbnb.com/rooms/50562097","Rental unit in Barcelona · ★4.45 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562097/original/4db47a61-aa73-414c-8293-4091410c197f.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-008633","111",2,3,2,45,"226"
15124,"https://www.airbnb.com/rooms/50562097","Rental unit in Barcelona · ★4.45 · 3 bedrooms · 5 beds · 1.5 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562097/original/4db47a61-aa73-414c-8293-4091410c197f.jpeg","Entire rental unit","Entire home/apt",3,5,"1.5","1.5 baths","HUTB-008633","111",2,3,2,45,"226"
15551,"https://www.airbnb.com/rooms/51441166","Rental unit in Barcelona · ★4.48 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51441166/original/22535547-68a8-44a1-93b7-65e036263555.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-008637","94",1,3,1,45,"227"
15551,"https://www.airbnb.com/rooms/51441166","Rental unit in Barcelona · ★4.48 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-51441166/original/22535547-68a8-44a1-93b7-65e036263555.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-008637","94",1,3,1,45,"227"
14779,"https://www.airbnb.com/rooms/50562185","Rental unit in Barcelona · ★4.48 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562185/original/40fddb36-2b8d-4a0e-a250-7f96fea91d60.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-011743","109",2,3,2,45,"235"
14779,"https://www.airbnb.com/rooms/50562185","Rental unit in Barcelona · ★4.48 · 3 bedrooms · 5 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50562185/original/40fddb36-2b8d-4a0e-a250-7f96fea91d60.jpeg","Entire rental unit","Entire home/apt",3,5,"2","2 baths","HUTB-011743","109",2,3,2,45,"235"
6431,"https://www.airbnb.com/rooms/706264265605477127","Serviced apartment in Barcelona · 1 bedroom · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-706264265605477127/original/8ddb2eaa-3bed-4ca3-bc3b-380296a01f54.jpeg","Entire serviced apartment","Entire home/apt",1,4,"1","1 bath","HUTB-005410","131",1,99,2,365,"900"
6431,"https://www.airbnb.com/rooms/706264265605477127","Serviced apartment in Barcelona · 1 bedroom · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-706264265605477127/original/8ddb2eaa-3bed-4ca3-bc3b-380296a01f54.jpeg","Entire serviced apartment","Entire home/apt",1,4,"1","1 bath","HUTB-005410","131",1,99,2,365,"900"
